type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,729738,大田凱基19購01,TW22Z7297387,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729739,大國鋼凱基18購01,TW22Z7297395,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729740,大樹凱基18購01,TW22Z7297403,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729741,世界凱基19購01,TW22Z7297411,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729742,合晶凱基18購04,TW22Z7297429,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729743,宏佳騰凱基18購01,TW22Z7297437,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729744,朋程凱基18購03,TW22Z7297445,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729745,晶宏凱基18購02,TW22Z7297452,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729746,晶宏凱基19購01,TW22Z7297460,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729747,群聯凱基19購02,TW22Z7297478,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729748,聖暉凱基19購01,TW22Z7297486,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729749,鈺太凱基18購01,TW22Z7297494,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729750,頎邦凱基19購01,TW22Z7297502,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729751,網家凱基18購01,TW22Z7297510,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729752,元太國票19購02,TW22Z7297528,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729753,杰力國票19購01,TW22Z7297536,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729754,金居國票19購02,TW22Z7297544,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729755,威剛國票19購01,TW22Z7297551,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729756,倉和國票19購01,TW22Z7297569,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729757,泰博國票19購01,TW22Z7297577,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729758,神準國票19購02,TW22Z7297585,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729759,晶宏國票19購01,TW22Z7297593,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729760,晶焱國票19購01,TW22Z7297601,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729761,鈺太國票18購01,TW22Z7297619,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729762,碩禾國票19購01,TW22Z7297627,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729763,德微國票19購01,TW22Z7297635,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729764,穩懋國票19購01,TW22Z7297643,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729765,大國鋼群益18購01,TW22Z7297650,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729766,中探針群益18購01,TW22Z7297668,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729767,公準群益18購01,TW22Z7297676,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729768,宏捷科群益1A購01,TW22Z7297684,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729769,宏觀群益1A購01,TW22Z7297692,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729770,長科*群益18購01,TW22Z7297700,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729771,信昌電群益18購01,TW22Z7297718,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729772,美琪瑪群益18購02,TW22Z7297726,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729773,紘康群益18購02,TW22Z7297734,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729774,晶宏群益19購01,TW22Z7297742,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729775,晶宏群益1A購01,TW22Z7297759,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729776,順藥群益19購01,TW22Z7297767,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729777,群聯群益19購01,TW22Z7297775,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729778,聖暉群益18購01,TW22Z7297783,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729779,廣運群益1A購01,TW22Z7297791,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729780,世界元大18購02,TW22Z7297809,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729781,艾訊元大18購01,TW22Z7297817,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729782,宏觀元大1C購01,TW22Z7297825,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729783,明安元大18購02,TW22Z7297833,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729784,明安元大18購03,TW22Z7297841,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729785,家登元大18購07,TW22Z7297858,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729786,華景電元大18購01,TW22Z7297866,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729787,華景電元大18購02,TW22Z7297874,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729788,瑞基元大1A購01,TW22Z7297882,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729789,聖暉元大18購02,TW22Z7297890,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729790,鈺太元大18購02,TW22Z7297908,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729791,晶宏麥證18購01,TW22Z7297916,2022/02/16,上櫃,,RWSCCE
上櫃認購(售)權證,729792,晶宏中信18購01,TW22Z7297924,2022/02/16,上櫃,,RWSCCE
上櫃認購(售)權證,729793,德微中信18購01,TW22Z7297932,2022/02/16,上櫃,,RWSCCE
上櫃認購(售)權證,729794,德微中信19購01,TW22Z7297940,2022/02/16,上櫃,,RWSCCE
上櫃認購(售)權證,729795,威剛國泰1A購01,TW22Z7297957,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729796,M31永豐18購01,TW22Z7297965,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729797,大中永豐18購01,TW22Z7297973,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729798,台半永豐18購01,TW22Z7297981,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729799,立敦永豐18購01,TW22Z7297999,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729800,安國永豐19購01,TW22Z7298005,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729801,朋程永豐18購03,TW22Z7298013,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729802,長科*永豐18購01,TW22Z7298021,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729803,茂達永豐19購01,TW22Z7298039,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729804,雍智永豐18購01,TW22Z7298047,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729805,撼訊永豐18購02,TW22Z7298054,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729806,聰泰永豐18購01,TW22Z7298062,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729807,力致統一22購01,TW22Z7298070,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729808,威剛統一1A購02,TW22Z7298088,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729809,崧騰統一19購01,TW22Z7298096,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729810,博智統一19購04,TW22Z7298104,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729811,晶宏統一18購03,TW22Z7298112,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729812,晶宏統一1A購01,TW22Z7298120,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729813,晶宏統一1A購02,TW22Z7298138,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729814,晶宏統一1A購03,TW22Z7298146,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729815,晶宏統一1A購04,TW22Z7298153,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729816,晶宏統一1C購02,TW22Z7298161,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729817,晶宏統一1C購03,TW22Z7298179,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729818,晶宏統一22購01,TW22Z7298187,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729819,晶焱統一19購04,TW22Z7298195,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729820,華景電統一19購02,TW22Z7298203,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729821,閎康統一1A購02,TW22Z7298211,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729822,聖暉統一19購02,TW22Z7298229,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729823,頎邦統一18購01,TW22Z7298237,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729824,德微統一1A購01,TW22Z7298245,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729825,德微統一22購01,TW22Z7298252,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729826,德微統一22購02,TW22Z7298260,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729827,驊訊統一22購01,TW22Z7298278,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729828,旺矽富邦19購01,TW22Z7298286,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729829,雙鴻富邦19購01,TW22Z7298294,2022/02/16,上櫃,,RWSCCA
上櫃認購(售)權證,729830,晶宏元富18購02,TW22Z7298302,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729831,德微元富19購02,TW22Z7298310,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729832,群聯康和1A購02,TW22Z7298328,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729833,大田群益18購01,TW22Z7298336,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729834,元太群益19購03,TW22Z7298344,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729835,茂達群益19購02,TW22Z7298351,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729836,晶宏群益18購01,TW22Z7298369,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729837,華景電群益18購01,TW22Z7298377,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729838,禾瑞亞中信1A購01,TW22Z7298385,2022/02/17,上櫃,,RWSCCE
上櫃認購(售)權證,729839,凡甲國泰1A購01,TW22Z7298393,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729840,晶宏國泰1A購01,TW22Z7298401,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729841,旺矽永豐19購01,TW22Z7298419,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729842,益安永豐18購02,TW22Z7298427,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729843,晶焱永豐18購02,TW22Z7298435,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729844,智擎永豐18購01,TW22Z7298443,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729845,中美晶凱基19購04,TW22Z7298450,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729846,元太凱基19購04,TW22Z7298468,2022/02/17,上櫃,,RWSCCA
